Function Name,Submodule,Scope,Priority,Params Hinted,Has Return,References,Test Suite,File,Line
pythainlp.translate.tokenization_small100.SMALL100Tokenizer.__init__,translate,public,medium,1/11,True,113,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,125
pythainlp.util.date.convert_years,util,public,medium,1/3,True,24,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/date.py,119
pythainlp.util.emojiconv.emoji_to_thai,util,public,medium,1/2,True,15,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/emojiconv.py,1835
pythainlp.util.date.thai_strptime,util,public,medium,4/5,False,12,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/util/date.py,212
pythainlp.transliterate.thaig2p.ThaiG2P._prepare_sequence_in,transliterate,private,low,1/1,False,12,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/thaig2p.py,75
pythainlp.benchmarks.word_tokenization._find_word_boundaries,benchmarks,private,low,0/1,True,5,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/benchmarks/word_tokenization.py,239
pythainlp.transliterate.w2p.Thai_W2P._gru,transliterate,private,low,0/7,True,5,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/transliterate/w2p.py,121
pythainlp.generate.wangchanglm.WangChanGLM.gen_instruct,generate,public,low,9/9,False,3,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/wangchanglm.py,68
pythainlp.corpus.wordnet.custom_lemmas,corpus,public,low,1/2,True,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/corpus/wordnet.py,437
pythainlp.generate.wangchanglm.WangChanGLM.instruct_generate,generate,public,low,9/10,False,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/generate/wangchanglm.py,124
pythainlp.translate.tokenization_small100.save_json,translate,public,low,1/2,True,2,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,433
pythainlp.translate.tokenization_small100.SMALL100Tokenizer._build_translation_inputs,translate,private,low,1/2,False,1,unknown,/home/runner/work/pythainlp/pythainlp/pythainlp/translate/tokenization_small100.py,384
